0,1,2,3,4,5,source_file,pdf_source,table_types,6,7,8,9,10,11,12,13,14,15,16
60.2,0.5738,0.1561,197.0,196.2,7.138,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
60.2,0.7974,0.2193,203.1,202.7,7.374,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
66.5,0.9248,0.2585,211.0,213.1,7.752,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
0,50.03,3.081,a-La(N03)3'6H20,,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
18.4,54.16,3.636,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
21.2,55.03,3.766,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
25.4,55.8,3.885,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
35.4,59.12,4.451,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
42.4,63.84,5.434,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
44.2,65.13,5.748,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
14.4,56.27,3.96,6-La(N03)3'6H20,,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
15.2,56.94,4.07,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
15.8,56.85,4.055,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
16.0,56.74,4.037,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
23.2,58.7,4.374,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
29.6,60.08,4.632,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
32.2,61.34,4.883,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
40.0,62.71,5.176,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
46.4,64.55,5.604,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
49.4,65.17,5.759,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
56.0,68.3,6.631,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
64.5b,75.04,9.253,"""",,,SDS-13_filtered_table_003.csv,SDS-13_filtered,,,,,,,,,,,,
-0.3,8.6,0.29,A,,21.4,SDS-13_filtered_table_004.csv,SDS-13_filtered,,59.2,4.47,B,,,,,,,,
-2.6,18.5,0.699,A,,27.7,SDS-13_filtered_table_004.csv,SDS-13_filtered,,61.0,4.81,B,,,,,,,,
-4.9,23.3,0.935,A,,36.3,SDS-13_filtered_table_004.csv,SDS-13_filtered,,62.6,5.15,B,,,,,,,,
-9.5,35.6,1.7,A,,,SDS-13_filtered_table_004.csv,SDS-13_filtered,,,,,,,,,,,,
,,,,,41.3,SDS-13_filtered_table_004.csv,SDS-13_filtered,,64.0,5.47,B + C,,,,,,,,
-12.8,40.2,2.07,A,,,SDS-13_filtered_table_004.csv,SDS-13_filtered,,,,,,,,,,,,
-18.1,45.9,2.61,A,,48.6,SDS-13_filtered_table_004.csv,SDS-13_filtered,,65.3,5.79,C + D +,,E,,,,,,
-22.9,48.9,2.95,A,,52.7,SDS-13_filtered_table_004.csv,SDS-13_filtered,,66.5,6.11,C + D +,,E,,,,,,
,,,,,55.4,SDS-13_filtered_table_004.csv,SDS-13_filtered,,67.6,6.42,C + D +,,E,,,,,,
-25.9,51.3,3.24,A +,B,,SDS-13_filtered_table_004.csv,SDS-13_filtered,,,,,,,,,,,,
,,,,,60.9,SDS-13_filtered_table_004.csv,SDS-13_filtered,,70.2,7.25,C + D +,,E,,,,,,
-15.0,52.4,3.39,B,,69.9,SDS-13_filtered_table_004.csv,SDS-13_filtered,,73.4,8.49,C + D +,,E,,,,,,
2.7,54.4,3.67,B,,79.9,SDS-13_filtered_table_004.csv,SDS-13_filtered,,76.6,10.07,C + D +,,E,,,,,,
5.3,55.3,3.81,B,,98.4,SDS-13_filtered_table_004.csv,SDS-13_filtered,,78.8,11.44,C + D +,,E,,,,,,
15.8,57.9,4.23,B,,122.0,SDS-13_filtered_table_004.csv,SDS-13_filtered,,79.9,12.23,C + D +,,E,,,,,,
At,"25·C,",soly,=,63.71,mass,SDS-13_filtered_table_005.csv,SDS-13_filtered,,"%,",density,=,1.88,kg,m,,,,,
At,"50·C,",soly,=,73.88,mass,SDS-13_filtered_table_005.csv,SDS-13_filtered,,"%,",density,=,2.04,kg,m,,,,,
0,58.02,4.238,,,,SDS-13_filtered_table_006.csv,SDS-13_filtered,,,,,,,,,,,,
10,59.83,4.567,,,,SDS-13_filtered_table_006.csv,SDS-13_filtered,,,,,,,,,,,,
20,62.02,5.007,,,,SDS-13_filtered_table_006.csv,SDS-13_filtered,,,,,,,,,,,,
35,65.62,5.852,,,,SDS-13_filtered_table_006.csv,SDS-13_filtered,,,,,,,,,,,,
50,70.51,7.331,,,,SDS-13_filtered_table_006.csv,SDS-13_filtered,,,,,,,,,,,,
- 0.5,,16.5,0.606,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,38.7,66.9,6.2,C,,,,,,,
- 2.4,,23.1,0.921,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,48.5,68.4,6.64,C,,,,,,,
- 3.0,,27.5,1.16,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,49.7,68.5,6.67,C,,,,,,,
-10.0,,36.5,1.76,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,51.9,68.9,6.79,C,,,,,,,
-21.4,,46.4,2.65,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,,,,,,,,,,,
-28.2,,51.8,3.3,A,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,53.0,70.0,7.15,D,,,,,,,
,,,,,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,57.7,71.8,7.81,D,,,,,,,
-33.5,,53.8,3.57,A +,B,SDS-13_filtered_table_007.csv,SDS-13_filtered,,62.2,73.2,8.37,D,,,,,,,
,,,,,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,67.3,74.0,8.73,D,,,,,,,
- 9.3,,55.8,3.87,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,74.1,76.3,9.87,D,,,,,,,
4.3,,58.0,4.23,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,,,,,,,,,,,
4.9,,58.9,4.39,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,80.0,79.2,11.68,E,,,,,,,
17.9,,60.9,4.78,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,94.0,81.7,13.69,E,,,,,,,
23.3,,63.1,5.24,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,108.0,85.1,17.51,E,,,,,,,
28.9,,63.7,5.38,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,119.5,88.1,22.7,E,,,,,,,
37.6,,66.7,6.14,B,,SDS-13_filtered_table_007.csv,SDS-13_filtered,,,,,,,,,,,,
15.8,59.32,4.46,,,,SDS-13_filtered_table_008.csv,SDS-13_filtered,,,,,,,,,,,,
22.0,60.18,4.623,,,,SDS-13_filtered_table_008.csv,SDS-13_filtered,,,,,,,,,,,,
30.4,61.94,4.978,,,,SDS-13_filtered_table_008.csv,SDS-13_filtered,,,,,,,,,,,,
43.0,65.0,5.681,,,,SDS-13_filtered_table_008.csv,SDS-13_filtered,,,,,,,,,,,,
10,59.29,4.455,,,,SDS-13_filtered_table_009.csv,SDS-13_filtered,,,,,,,,,,,,
20,61.24,4.833,,,,SDS-13_filtered_table_009.csv,SDS-13_filtered,,,,,,,,,,,,
35,64.86,5.646,,,,SDS-13_filtered_table_009.csv,SDS-13_filtered,,,,,,,,,,,,
50,69.4,6.937,,,,SDS-13_filtered_table_009.csv,SDS-13_filtered,,,,,,,,,,,,
bt/OC mass,%,mol,-1 kg,,phase,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,b,t/OC,mass,%,mol,-1 kg,,phase,,,
- 0.28.8,,0.30,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,42.5,65.9,,5.91,,,C,,,
- 0.715.3,,0.55,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,51.3,69.9,,7.10,,,C,,,
- 2.122.8,,0.90,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,53.1,71.1,,7.53,,,C,,,
- 5.430.0,,1.31,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
- 9.736.2,,1.74,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,56.1,72.1,,7.90,,,C+D,,,
-12.339.5,,2.00,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
-15.943.1,,2.32,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,64.7,72.2,,7.94,,,D,,,
22.949.8,,3.03,,,A,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,76.4,76.1,,9.74,,,D,,,
,,,,,,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,77.5,78.8,,11.37,,,D,,,
29.753.6,,3.53,,,A+B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
,,,,,,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,92.8,84.0,,16.06,,,E,,,
8.156.3,,3.94,,,B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,127.0,85.0,,17.33,,,E,,,
8.358.8,,4.37,,,B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
21.361.0,,4.78,,,B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
31.963.2,,5.Z5,,,B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
34.363.6,,5.34,,,B,SDS-13_filtered_table_010.csv,SDS-13_filtered,phase,,,,,,,,,,,
13.2,57.37,4.075,,,,SDS-13_filtered_table_011.csv,SDS-13_filtered,,,,,,,,,,,,
c,,,"""",,,SDS-13_filtered_table_011.csv,SDS-13_filtered,,,,,,,,,,,,
l8.2,,58.03,4.187,,,SDS-13_filtered_table_012.csv,SDS-13_filtered,,,,,,,,,,,,
,c,,,"""",,SDS-13_filtered_table_012.csv,SDS-13_filtered,,,,,,,,,,,,
Nd precipitated,as,the,oxalate.,Nd,was,SDS-13_filtered_table_013.csv,SDS-13_filtered,,,,,The filtered,solution,was,,3concentrated,on,,a
determined,gravimetrically,,,by ignition,,SDS-13_filtered_table_013.csv,SDS-13_filtered,,,of,the,water-bath,and,was seeded,,on the first,,,
-,2.3,20.7,0.79,II,343.363.5,SDS-13_filtered_table_014.csv,SDS-13_filtered,,5.27,,,,,,,,,,
,,,,,,SDS-13_filtered_table_014.csv,SDS-13_filtered,,,,II,,,,,,,,
-,6.3,32.8,1.48,II,45.464.7,SDS-13_filtered_table_014.csv,SDS-13_filtered,,5.55,,II,,,,,,,,
-12.9,38.8,1.92,II,50.8,66.2,SDS-13_filtered_table_015.csv,SDS-13_filtered,,5.93,II,,,,,,,,,
-21.0,45.2,2.5,II,55.6,68.6,SDS-13_filtered_table_015.csv,SDS-13_filtered,,6.62,II,,,,,,,,,
-24.6,48.4,2.84,II,63.0,72.7,SDS-13_filtered_table_015.csv,SDS-13_filtered,,8.06,II,,,,,,,,,
"equation,",and,at,25°C,the,value,SDS-13_filtered_table_016.csv,SDS-13_filtered,"temperature, solubility",is,1.84,kg,m- 3 •,Using,this,"density,",the,solubility,in,
- 2.1,,19.2,0.71,,ice,SDS-13_filtered_table_017.csv,SDS-13_filtered,,b63.871.4,7.42,Sm(N0,)3' 6H20,,,,,,,
- 3.9,,25.1,1.0,,,SDS-13_filtered_table_017.csv,SDS-13_filtered,,71.2 c 75.0,8.92,3,,,,,,,,
- 8.5,,33.7,1.51,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,73.076.2,9.52,,"""",,,,,,,
-11.9,,38.0,1.82,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,,,,"""",,,,,,,
,,,,,,SDS-13_filtered_table_017.csv,SDS-13_filtered,,,,,,b,,,,,,
-15.9,,42.5,2.2,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,-36.754.4,3.55,Sm(NO,) .5HZO,,,,,,,
-ZO.3,,46.5,2.58,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,353.867.0,6.04,3 Sm(N0,)3' 5II20,,,,,,,
-26.5,,49.9,2.96,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,365.869.1,6.65,,,,,,,,,
-33.5,,52.9,3.34,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,76.973.4,8.2,,"""",,,,,,,
,,,,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,,,,,,,,,,,
,,,,,,SDS-13_filtered_table_017.csv,SDS-13_filtered,,83.675.8,9.31,,"""",,,,,,,
-30.0,,51.9,3.21,Sm(N0,)3· 61120,SDS-13_filtered_table_017.csv,SDS-13_filtered,,"82.87{,.8",9.84,,"""",,,,,,,
,,,,3,,SDS-13_filtered_table_017.csv,SDS-13_filtered,,,,,,,,,,,,
- 4.8,,54.1,3.5,,,SDS-13_filtered_table_017.csv,SDS-13_filtered,,88.479.9,11.82,,"""",,,,,,,
13.8,,56.4,3.85,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,86.483.3,14.83,,"""",,,,,,,
30.3,,60.2,4.5,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,,,,"""",,,,,,,
41.4,,63.4,5.15,,"""",SDS-13_filtered_table_017.csv,SDS-13_filtered,,86.983.4,14.94,lower,hydrate,,,,,,,
- 1.2,,10.3,0.34,,37.0,SDS-13_filtered_table_018.csv,SDS-13_filtered,,60.8,4.59,,,,,,,,,
- 2.3,,13.6,0.47,"""",45.1,SDS-13_filtered_table_018.csv,SDS-13_filtered,,62.1,4.85,"""?c",,,,,,,,
- 2.8,,14.6,0.51,"""",38.1,SDS-13_filtered_table_018.csv,SDS-13_filtered,,62.7,4.97,?,,,,,,,,
- 9.9,,30.2,1.28,"""",47.1,SDS-13_filtered_table_018.csv,SDS-13_filtered,,64.8,5.45,e,,,,,,,,
-11.4,,35.1,1.6,"""",53.5,SDS-13_filtered_table_018.csv,SDS-13_filtered,,65.4,5.59,?,,,,,,,,
-18.1,,39.7,1.95,"""",56.8,SDS-13_filtered_table_018.csv,SDS-13_filtered,,66.5,5.87,?,,,,,,,,
-22.0,,44.1,2.33,"""",54.7,SDS-13_filtered_table_018.csv,SDS-13_filtered,,67.1,6.03,C,,,,,,,,
-25.8,,47.0,2.62,"""",,SDS-13_filtered_table_018.csv,SDS-13_filtered,,,,,,,,,,,,
-28.1,,48.6,2.8,"""",59.0,SDS-13_filtered_table_018.csv,SDS-13_filtered,,67.5,6.15,D,,,,,,,,
,,,,"""",73.0,SDS-13_filtered_table_018.csv,SDS-13_filtered,,70.6,7.11,,,,,,,,,
-31.6,,50.3,2.99,B,74.0,SDS-13_filtered_table_018.csv,SDS-13_filtered,,71.4,7.39,"""?",,,,,,,,
-32.1,,52.2,3.23,,77.4,SDS-13_filtered_table_018.csv,SDS-13_filtered,,73.2,8.08,D,,,,,,,,
-20.5,,53.5,3.4,"""",87.0,SDS-13_filtered_table_018.csv,SDS-13_filtered,,75.8,9.27,?,,,,,,,,
- 1.8,,54.7,3.57,"""",77.5,SDS-13_filtered_table_018.csv,SDS-13_filtered,,78.6,10.87,?,,,,,,,,
15.4,,57.0,3.92,"""",89.2,SDS-13_filtered_table_018.csv,SDS-13_filtered,,83.7,15.19,od,,,,,,,,
sepn,of the,soln,and,,solid phase.,SDS-13_filtered_table_019.csv,SDS-13_filtered,phase,The,,,Z.,Conductivity water,,distilled,from,,,
solns,were,adjusted,,to,their,SDS-13_filtered_table_019.csv,SDS-13_filtered,phase,equivalence,,pH,,alkaline KMn0,was,used.,,,,
,,3,,J. Chern.,Eng. Data,SDS-13_filtered_table_020.csv,SDS-13_filtered,,"1975,",,"20,",,88-93.,,,,,,
,,,2.0,"Rard, J.A.;",Spedding.,SDS-13_filtered_table_020.csv,SDS-13_filtered,,,F.H.,J.,,Phys.,Chern,,,,,
,,,,"1975, 79,",257-62.,SDS-13_filtered_table_020.csv,SDS-13_filtered,,,,,,,,,,,,
0.0,;,[7732-18-5],,,,SDS-13_filtered_table_020.csv,SDS-13_filtered,,,,,,,,,,,,
2.0,,,3.0,Spedding.,"F.R.; Derer,",SDS-13_filtered_table_020.csv,SDS-13_filtered,,,,J.L.;,,"Mohs,",M.A.;,,,,,
0,65.76,1035.0,5.349,Yb (NO 3) 3' 5H O2,,SDS-13_filtered_table_021.csv,SDS-13_filtered,,,,,,,,,,,,
10,67.51,,5.787,"""",,SDS-13_filtered_table_021.csv,SDS-13_filtered,,,,,,,,,,,,
15,68.28,,5.995,"""",,SDS-13_filtered_table_021.csv,SDS-13_filtered,,,,,,,,,,,,
20,69.5,875.0,6.346,"""",,SDS-13_filtered_table_021.csv,SDS-13_filtered,,,,,,,,,,,,
40,73.91,703.0,7.89,"""",,SDS-13_filtered_table_021.csv,SDS-13_filtered,,,,,,,,,,,,
-12,26.35,3.371,1.871,Ice,,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
- 8,22.24,2.695,1.496,"""",,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
-18,51.64,10.061,5.585,Mg(Cl~3)2'6H20,,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
0,53.27,10.740,5.962,,,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
18,56.5,12.238,6.793,"""",,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
29,60.23,16.269,7.92,"""",,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
35,63.65,16.498.,9.158,"""",,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
42,63.82,16.620,9.225,Mg(Cl~3)2'4H20,,SDS-14_filtered_table_001.csv,SDS-14_filtered,,,,,,,,,,,,
1045.58,5.111,2.99,1.562,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
2048.66,5.746,3.384,1.609,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
3051.4,6.37,3.78,1.662,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
4054.5,7.15,4.28,1.722,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
5057.3,7.94,4.79,1.787,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
6562.5,9.68,5.95,1.900,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
7566.8,11.5,7.18,2.013,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
7868.3,12.2,7.69,2.070,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
80.5b 70.15,II13.13,8.39,--,,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
80.0b 70.lb,13.1,8.37,--,A +,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
8170.1,13.1,8.37,--,B,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
II9070.8,13.5,8.66,--,,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
10071.9,14.1,9.13,--,B,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
11772.6,14.6,9.46,--,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
II13073.3,15.0,9.8,--,,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
"l34b ,c 73.6c",15.2,9.95,--,II,,SDS-14_filtered_table_002.csv,SDS-14_filtered,,,,,,,,,,,,
- 0.36,,3.18,0.0878,A,+ ice,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
+ 5,,4.39,0.1227,,A,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
10,,5.87,0.1667,,A,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
15,,7.79,0.2258,,A(m),SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
5,,6.09,0.1733,,B(m),SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
10,,6.68,0.1913,,B(m),SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
15,,7.29,0.2102,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
25,,8.55,0.2499,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
35,,9.83,0.2914,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
40,,10.51,0.3139,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
50,,12.05,0.3662,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
57.5,,13.1,0.403,,B,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
70,,15.7,0.498,,B (m),SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
90,,19.6,0.652,,B(m),SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
60,,13.2,0.406,,C,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
70,,13.3,0.41,,C,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
80,,13.4,0.414,,C,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
90,,13.5,0.417,,C,SDS-14_filtered_table_003.csv,SDS-14_filtered,,,,,,,,,,,,
- 2.2,9.3,0.88,0.5,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
- 4.2,13.9,1.39,0.78,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
- 6.3,18.6,1.95,1.1,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
- 9.1,23.2,2.56,1.46,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-12.9,27.9,3.26,1.87,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-17.1,32.5,4.02,2.33,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-24.0,37.2,4.9,2.86,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-32.9,42.0,5.93,3.5,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-34.2,43.0,6.16,3.64,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-37.0,44.0,6.4,3.8,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-39.6,45.0,6.65,3.95,,,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,"""",,,,,,,,,
-41.,45.5,6.77,4.03,,Ice,SDS-14_filtered_table_004.csv,SDS-14_filtered,,+,Ca(CI03)2'6H20,,,,,,,,,
-37.5,46.0,6.9,4.12,,Ca(CI03)2'6H20,SDS-14_filtered_table_004.csv,SDS-14_filtered,,,,,,,,,,,,
